# blog.txt
# Un blog minimaliste et léger pour garder et partager mes trouvailles.

DATE                    CATEGORY/TYPE           URL : DESCRIPTION
2022-08-16T22:02:07	network/resources	https://unfriendlygrinch.info/posts/openbsd-routing-tables-and-routing-domains/ : OpenBSD rTables et rDomains
2022-08-16T22:05:17	network/article		https://bsdrp.net/documentation/examples/forwarding_performance_lab_of_a_pc_engines_apu2#forwarding_performance_lab_of_a_pc_engines_apu_2 : FreeBSD Forwarding performance lab of a PC Engines
2022-09-03T23:42:59	system/article		https://blog.garamotte.net/posts/2018/02/25/fr-passwords-management-with-pass.html : Article sur la gestion des mots de passe avec pass
2022-11-07T21:57:36	system/article		https://vez.mrsk.me/freebsd-defaults.html : Article sur les défauts de FreeBSD et ces corrections partielles
2022-11-10T22:21:23	system/resources	https://r4ven.fr/blog/hardening-tls/ : Quelques notions autour du TLS
2022-11-20T21:32:06	other/article		https://matsukai.org/how-to-make-a-short-shinai-yourself-and-be-able-to-practice-kendo-in-any-space-with-a-low-ceiling/ : Article pour créer un shinai de taille réduite
2023-03-18T22:08:24	system/article		https://latacora.micro.blog/2019/07/16/the-pgp-problem.html : Les lacunes de PGP
2023-03-18T22:10:30	system/article		https://soatok.blog/2022/05/19/guidance-for-choosing-an-elliptic-curve-signature-algorithm-in-2022/ : Conseils pour choisir un algorithme de signature de courbe elliptique en 2022
2023-03-19T21:28:19	network/article		https://chown.me/blog/getting-my-own-asn : Obtenir son prope ASN
2023-04-11T12:15:00	system/blog		https://arccompute.com/blog/why-computers-suck-and-how-openbsd-makes-them-marginally-better/ : Les différences de politiques de dev entre OS
2023-04-11T13:03:57	system/website		https://sysadmin.libhunt.com/ : Liste d'outils pour l'auto hébergement
2023-04-18T16:58:44	system/resources	https://lafor.ge/nix-1/ : Premier pas avec Nix
2023-04-18T22:49:31	system/tools		https://age-encryption.org/ : Outil de chiffrement
2023-05-02T12:28:59	other/article		https://thehistoryoftheweb.com/ : L'histoire du WEB
2023-05-12T13:19:56	system/website		https://bsd-hardware.info/ : Compatibilité matérielle pour BSD
2023-05-12T21:23:21	system/tools		https://bounca.org/index.html : Web interface pour la gestion de certificats auto-signé
2023-05-12T21:23:29	system/tools		https://www.authelia.com/ : Portail SSO
2023-05-21T22:29:18	network/resources	https://www.22decembre.eu/fr/2016/05/28/openbsd-ipv6-router/ : OpenBSD et obtenir une @ IPv6
2023-05-21T22:30:18	network/resources	https://www.jwillikers.com/openbsd-ipv6 : OpenBSD et configuration IPv6
2023-05-21T22:31:33	network/training	https://ipv6.he.net/certification/index.php : Certification IPv6
2023-05-21T22:32:32	network/resources	https://cisco.goffinet.org/ccna/ipv6/ : Tutoriel sur l'IPv6
2023-05-21T22:36:31	network/resources	https://lantian.pub/en/article/modify-website/dn42-experimental-network-2020.lantian/ : Tutoriel pour DN42
